sistema,base_de_datos,esquema,tipo_objeto,nombre_objeto,destino_postgre,existe_en_informix,query
aseo,,dbo,TABLA,Det_Pagos,aseo_contratado,NO,'select * from Det_Pagos' 'where Control_Contrato = :Control_contrato') Left = 176 Top = 34 ParamData = < item DataType = ftInteger Name = 'control_contrato' ParamType = ptUnknown Size = 4 end> object QryDetPagoscontrol_contrato: TIntegerField FieldName = 'control_contrato' Origin = 'INGRESOSIFX.det_pagos.control_contrato' end object QryDetPagosejercicio: TIntegerField FieldName = 'ejer...
aseo,,dbo,TABLA,ta,aseo_contratado,NO,'select * from ta') Left = 32 Top = 48 end end
aseo,,dbo,TABLA,ta_16_ejercicios,aseo_contratado,NO,'select * from ta_16_ejercicios order by ejercicio
aseo,,dbo,TABLA,ta_16_recaudadoras,aseo_contratado,NO,'select * from ta_16_recaudadoras order by num_rec') Left = 161 Top = 33 object Qrynum_rec: TSmallintField FieldName = 'num_rec' Origin = 'INGRESOSIFX.ta_16_recaudadoras.num_rec' DisplayFormat = '00' EditFormat = '00' end object Qrydescripcion: TStringField FieldName = 'descripcion' Origin = 'INGRESOSIFX.ta_16_recaudadoras.descripcion' Size = 80 end end end
aseo,,dbo,TABLA,ta_16_unidad,aseo_contratado,NO,"'select ctrol_recolec, cve_recolec, descripcion from ta_16_unidad' + 'es where ejercicio_recolec = :ejercicio') Left = 16 Top = 328 ParamData = < item DataType = ftInteger Name = 'ejercicio' ParamType = ptUnknown end> object tshet0_QryUnidadesctrol_recolec: TIntegerField FieldName = 'ctrol_recolec' Origin = 'INGRESOSIFX.ta_16_unidades.ctrol_recolec' DisplayFormat = '000' end object tshet0_QryU..."
aseo,db_egresos,dbo,TABLA,ta_12_recaudadoras,aseo_contratado,SI,'select * from ta_12_recaudadoras order by id_Rec') Left = 192 Top = 176 object QryRecaudadorasid_rec: TSmallintField FieldName = 'id_rec' Origin = 'INGRESOSIFX.ta_12_recaudadoras.id_rec' DisplayFormat = '00' EditFormat = '00' end object QryRecaudadorasid_zona: TIntegerField FieldName = 'id_zona' Origin = 'INGRESOSIFX.ta_12_recaudadoras.id_zona' end object QryRecaudadorasrecaudadora: TStringField FieldName = '...
aseo,db_egresos,dbo,TABLA,ta_versiones,aseo_contratado,SI,'Select * from ta_versiones where proyecto=:varProyecto and versi' + 'on=:varVersion') Left = 320 Top = 216 ParamData = < item DataType = ftString Name = 'varProyecto' ParamType = ptUnknown Value = '' end item DataType = ftString Name = 'varVersion' ParamType = ptUnknown Value = '' end> object QryVersionesproyecto: TStringField FieldName = 'proyecto' O...
aseo,db_ingresos,dbo,TABLA,ta_12_cuentas,aseo_contratado,SI,'select * from ta_12_cuentas' 'where cta_aplicacion =:varCta
aseo,db_ingresos,dbo,TABLA,ta_12_diasinhabil,aseo_contratado,SI,'select * from ta_12_diasinhabil ' 'where fecha =:fechain') Left = 377 Top = 77 ParamData = < item DataType = ftDateTime Name = 'fechain' ParamType = ptUnknown Value = 0d end> end end
aseo,db_ingresos,dbo,TABLA,ta_12_diaslimite,aseo_contratado,SI,'select * from ta_12_diaslimite' 'where Year(fecha_limite) = Year(Current)' 'and Month(fecha_limite) = Month(Current)') Left = 291 Top = 8 object QryDiaLimitefecha_limite: TDateField FieldName = 'fecha_limite' end end object ppRepEdoCtacon16_detade_01: TppReport AutoStop = False DataPipeline = ppBDEPipelineBusqCont PrinterSetup.BinName = 'Default' PrinterSetup.DocumentName = 'Report' PrinterSetup.PaperName = 'Carta' ...
aseo,db_ingresos,dbo,TABLA,ta_12_operaciones,aseo_contratado,SI,"'select * from ta_12_operaciones order by id_Rec, caja') Left = 224 Top = 176 object QryCajaid_rec: TSmallintField FieldName = 'id_rec' Origin = 'INGRESOSIFX.ta_12_operaciones.id_rec' end object QryCajacaja: TStringField FieldName = 'caja' Origin = 'INGRESOSIFX.ta_12_operaciones.caja' FixedChar = True Size = 1 end object QryCajaoperacion: TIntegerField FieldName = 'operacion' Origin = 'INGRESOSIFX.ta_12..."
aseo,db_ingresos,dbo,TABLA,ta_12_passwords,aseo_contratado,SI,'select * from ta_12_passwords where id_usuario = :Id_Usuario
aseo,db_ingresos,dbo,TABLA,ta_15_apremios,aseo_contratado,SI,'from ta_15_apremios' 'where vigencia = '#39'1'#39'
aseo,db_ingresos,dbo,TABLA,ta_15_periodos,aseo_contratado,SI,"'select * from ta_15_periodos where control_otr = :parIdApremio o' + 'rder by ayo,periodo') Left = 472 Top = 40 ParamData = < item DataType = ftInteger Name = 'parIdApremio' ParamType = ptUnknown end> object QryPeriodos_Apremioid_control: TIntegerField FieldName = 'id_control' Origin = 'INGRESOSIFX.ta_15_periodos.id_control' end object QryPeriodos_Apremiocontrol_otr: TIntegerField FieldName = ..."
aseo,db_ingresos,dbo,TABLA,ta_16_contratos,aseo_contratado,SI,"' from ta_16_contratos a, ta_16_unidades b' 'where a.num_contrato =:varContrato' 'and a.ctrol_aseo =:varCtrolAseo' 'and b.ctrol_recolec = a.Ctrol_recolec"
aseo,db_ingresos,dbo,TABLA,ta_16_contratos_h,aseo_contratado,SI,'select * from ta_16_contratos_h where control_contrato = :Contro' + 'l' 'order by Control
aseo,db_ingresos,dbo,TABLA,ta_16_Dia_Limite,aseo_contratado,SI,'select * from ta_16_Dia_Limite' 'where Mes = 1
aseo,db_ingresos,dbo,TABLA,ta_16_dscto_pp,aseo_contratado,SI,"'select * from ta_16_dscto_pp order by fecha_inicio, fecha_fin"
aseo,db_ingresos,dbo,TABLA,ta_16_empresas,aseo_contratado,SI,"' from ta_16_empresas a, ta_16_tipos_emp b' 'where b.ctrol_emp = a.ctrol_emp ' 'order by a.Descripcion, a.Num_empresa, b.ctrol_emp"
