base,esquema,tipo,nombre
catastro_gdl,admin,SP,admspins_detpago2
catastro_gdl,admin,SP,sp_adeudos
catastro_gdl,admin,SP,sp_gastmult
catastro_gdl,admin,TABLA,admpredtransac
catastro_gdl,admin,TABLA,pagos_admin
catastro_gdl,admin,TABLA,pagos_admin1
catastro_gdl,bcabrera,SP,graba_noadeudosite
catastro_gdl,bcabrera,SP,leyenda_rbopredial
catastro_gdl,bcabrera,SP,spd_difpredial
catastro_gdl,bcabrera,TABLA,asig_peticiones
catastro_gdl,bcabrera,TABLA,c_descleyendarbo
catastro_gdl,bcabrera,TABLA,documento_pet
catastro_gdl,bcabrera,TABLA,forma_solicitud
catastro_gdl,consulta,TABLA,borrable1
catastro_gdl,consulta,TABLA,c_giros
catastro_gdl,consulta,TABLA,deptoimpinm
catastro_gdl,consulta,TABLA,detsal_lic
catastro_gdl,consulta,TABLA,detsal_lic_h
catastro_gdl,consulta,TABLA,inhibirins
catastro_gdl,consulta,TABLA,inhibirupd
catastro_gdl,consulta,TABLA,liga_req
catastro_gdl,consulta,TABLA,requisitos_doc
catastro_gdl,consulta,TABLA,saldos_lic
catastro_gdl,csgarcia,SP,sp_calcular_impuestos_2021
catastro_gdl,csgarcia,SP,tmp2022_predial_seguros_vivienda_sp
catastro_gdl,csgarcia,TABLA,lic_firmas_elect_jalisco
catastro_gdl,csgarcia,TABLA,tmp2022_predial_seguros_vivienda
catastro_gdl,dbduenas,SP,act_detade_empresa
catastro_gdl,dbduenas,SP,odoo_adeudos_detalle_15
catastro_gdl,dbduenas,SP,ssd_pr1
catastro_gdl,dbduenas,SP,ssd_pr2
catastro_gdl,dbduenas,SP,ssd_pr3
catastro_gdl,dbduenas,SP,ssd_pr4
catastro_gdl,dbduenas,SP,ssd_pr5
catastro_gdl,dbduenas,SP,tmp_electronicos
catastro_gdl,dbduenas,SP,updfoliocat2019
catastro_gdl,dbduenas,TABLA,ctas_baldias
catastro_gdl,dbduenas,TABLA,ctas_exentas
catastro_gdl,dbduenas,TABLA,ctas_norecalcula
catastro_gdl,dbduenas,TABLA,tmp_nacho
catastro_gdl,dbduenas,TABLA,tmpaumento20mas
catastro_gdl,dbduenas,VISTA,v_pagosaumento
catastro_gdl,glgarcia,TABLA,lic_monumental
catastro_gdl,glgarcia,TABLA,restricciones
catastro_gdl,imtorre,SP,c_predial2_webpr
catastro_gdl,imtorre,SP,gen_saldosextra
catastro_gdl,imtorre,SP,kio13_total
catastro_gdl,imtorre,TABLA,auditext
catastro_gdl,imtorre,TABLA,c_bloqcon2012
catastro_gdl,imtorre,TABLA,c_causabloq
catastro_gdl,imtorre,TABLA,cartasdilig12
catastro_gdl,informix,SP,a
catastro_gdl,informix,SP,a1
catastro_gdl,informix,SP,abre_ctas
catastro_gdl,informix,SP,abre_ctas1
catastro_gdl,informix,SP,abre_ctas2
catastro_gdl,informix,SP,act_ade_empresa
catastro_gdl,informix,SP,act_bf_pagos
catastro_gdl,informix,SP,act_cvecatnva
catastro_gdl,informix,SP,act_detejecutor
catastro_gdl,informix,SP,act_folio_rec_desley
catastro_gdl,informix,SP,act_recibos_detsal
catastro_gdl,informix,SP,act_reclic
catastro_gdl,informix,SP,act_reclic1
catastro_gdl,informix,SP,act_reclicnvo
catastro_gdl,informix,SP,act_regprop
catastro_gdl,informix,SP,act_reqmul
catastro_gdl,informix,SP,act_rwhcatreq
catastro_gdl,informix,SP,act_usos_temp
catastro_gdl,informix,SP,act_xx1
catastro_gdl,informix,SP,actavaindiv_subpre
catastro_gdl,informix,SP,actualiza_blq_mov
catastro_gdl,informix,SP,add_revision
catastro_gdl,informix,SP,addtoset2_combine
catastro_gdl,informix,SP,addtoset2_final
catastro_gdl,informix,SP,addtoset2_init
catastro_gdl,informix,SP,addtoset2_iter
catastro_gdl,informix,SP,addtoset_combine
catastro_gdl,informix,SP,addtoset_final
catastro_gdl,informix,SP,addtoset_init
catastro_gdl,informix,SP,addtoset_iter
catastro_gdl,informix,SP,adeudo_licencias_especial
catastro_gdl,informix,SP,admin_adeudos_detalle_08
catastro_gdl,informix,SP,admin_adeudos_detalle_0819
catastro_gdl,informix,SP,admin_adeudos_detalle_08_18
catastro_gdl,informix,SP,admin_adeudos_detalle_08_ac
catastro_gdl,informix,SP,admin_adeudos_detalle_08_rec0
catastro_gdl,informix,SP,admin_adeudos_detalle_08bf
catastro_gdl,informix,SP,admin_adeudos_detalle_08bf17
catastro_gdl,informix,SP,admin_adeudos_detalle_08ivan
catastro_gdl,informix,SP,admin_adeudos_detalle_08odoo
catastro_gdl,informix,SP,admin_adeudos_detalle_08res13nov
catastro_gdl,informix,SP,admin_adeudos_detalle_08respal
catastro_gdl,informix,SP,admin_adeudos_detalle_08x
catastro_gdl,informix,SP,admin_adeudos_detalle_09
catastro_gdl,informix,SP,admin_adeudos_detalle_10
catastro_gdl,informix,SP,admin_adeudos_detalle_10a
catastro_gdl,informix,SP,admin_adeudos_detalle_10act
catastro_gdl,informix,SP,admin_adeudos_detalle_10b
catastro_gdl,informix,SP,admin_adeudos_detalle_10resp8mar
catastro_gdl,informix,SP,admin_adeudos_detalle_10xx
catastro_gdl,informix,SP,admin_adeudos_detalle_11
catastro_gdl,informix,SP,admin_adeudos_detalle_12
catastro_gdl,informix,SP,admin_adeudos_detalle_12x
catastro_gdl,informix,SP,admin_adeudos_detalle_15
catastro_gdl,informix,SP,admin_adeudos_detalle_16kio
catastro_gdl,informix,SP,admin_adeudos_detalle_31
catastro_gdl,informix,SP,admin_cancela_09
catastro_gdl,informix,SP,admin_cancela_10
catastro_gdl,informix,SP,admin_cancela_12
catastro_gdl,informix,SP,admin_cancela_15
catastro_gdl,informix,SP,admin_cancela_27
catastro_gdl,informix,SP,admin_datos_varios_07
catastro_gdl,informix,SP,admin_datos_varios_08
catastro_gdl,informix,SP,admin_datos_varios_08_reg0
catastro_gdl,informix,SP,admin_datos_varios_09
catastro_gdl,informix,SP,admin_datos_varios_10
catastro_gdl,informix,SP,admin_datos_varios_11
catastro_gdl,informix,SP,admin_datos_varios_12
catastro_gdl,informix,SP,admin_datos_varios_12x
catastro_gdl,informix,SP,admin_datos_varios_15
catastro_gdl,informix,SP,admin_encabezados_01
catastro_gdl,informix,SP,admin_encabezados_07
catastro_gdl,informix,SP,admin_encabezados_08
catastro_gdl,informix,SP,admin_encabezados_08
catastro_gdl,informix,SP,admin_encabezados_085
catastro_gdl,informix,SP,admin_encabezados_08_18
catastro_gdl,informix,SP,admin_encabezados_08_rec0
catastro_gdl,informix,SP,admin_encabezados_08_test_2022
catastro_gdl,informix,SP,admin_encabezados_08_x
catastro_gdl,informix,SP,admin_encabezados_08bf
catastro_gdl,informix,SP,admin_encabezados_08bf17
catastro_gdl,informix,SP,admin_encabezados_08resol
catastro_gdl,informix,SP,admin_encabezados_08respal
catastro_gdl,informix,SP,admin_encabezados_08x
catastro_gdl,informix,SP,admin_encabezados_08zz
catastro_gdl,informix,SP,admin_encabezados_09
catastro_gdl,informix,SP,admin_encabezados_10
catastro_gdl,informix,SP,admin_encabezados_10act
catastro_gdl,informix,SP,admin_encabezados_10ant
catastro_gdl,informix,SP,admin_encabezados_10ck
catastro_gdl,informix,SP,admin_encabezados_10s
catastro_gdl,informix,SP,admin_encabezados_10x
catastro_gdl,informix,SP,admin_encabezados_11
catastro_gdl,informix,SP,admin_encabezados_12
catastro_gdl,informix,SP,admin_encabezados_12x
catastro_gdl,informix,SP,admin_encabezados_31
catastro_gdl,informix,SP,admin_impre_detalle_08
catastro_gdl,informix,SP,admin_impre_detalle_08_rec0
catastro_gdl,informix,SP,admin_impre_detalle_08bf
catastro_gdl,informix,SP,admin_impre_detalle_08resp_13nov
catastro_gdl,informix,SP,admin_impre_detalle_08t
catastro_gdl,informix,SP,admin_inspred_22
catastro_gdl,informix,SP,admin_pago_08
catastro_gdl,informix,SP,admin_pago_08_resp13nov
catastro_gdl,informix,SP,admin_pago_08bf
catastro_gdl,informix,SP,admin_pago_08m
catastro_gdl,informix,SP,admin_pago_08odoo
catastro_gdl,informix,SP,admin_pago_08odooe
catastro_gdl,informix,SP,admin_pago_09
catastro_gdl,informix,SP,admin_pago_10
catastro_gdl,informix,SP,admin_pago_11
catastro_gdl,informix,SP,admin_pago_12
catastro_gdl,informix,SP,admin_pago_12_ant
catastro_gdl,informix,SP,admin_pago_12_resp
catastro_gdl,informix,SP,admin_pago_12x
catastro_gdl,informix,SP,admin_pago_15
catastro_gdl,informix,SP,admin_pago_16
catastro_gdl,informix,SP,admin_pago_16_elect
catastro_gdl,informix,SP,admin_pago_27
catastro_gdl,informix,SP,admin_terceros_det
catastro_gdl,informix,SP,admin_terceros_detx
catastro_gdl,informix,SP,admin_terceros_enc
catastro_gdl,informix,SP,admin_terceros_encd
catastro_gdl,informix,SP,admin_verif_cancela_08
catastro_gdl,informix,SP,admin_verif_cancela_09
catastro_gdl,informix,SP,admin_verif_cancela_10
catastro_gdl,informix,SP,admin_verif_cancela_12
catastro_gdl,informix,SP,admin_verif_cancela_15
catastro_gdl,informix,SP,admin_verif_cancela_27
catastro_gdl,informix,SP,adminsp_encabezados06
catastro_gdl,informix,SP,admsp_adeudospred
catastro_gdl,informix,SP,admsp_adeudospred1
catastro_gdl,informix,SP,admsp_adeudospredk
catastro_gdl,informix,SP,admsp_cancpred
catastro_gdl,informix,SP,admsp_datospred
catastro_gdl,informix,SP,admsp_dectopred
catastro_gdl,informix,SP,admsp_lic_adeudos
catastro_gdl,informix,SP,admsp_lic_cancpago
catastro_gdl,informix,SP,admsp_lic_fecint
catastro_gdl,informix,SP,admsp_lic_grales
catastro_gdl,informix,SP,admsp_lic_internet
catastro_gdl,informix,SP,admsp_lic_pago
catastro_gdl,informix,SP,admsp_lic_pagoint
catastro_gdl,informix,SP,admsp_lic_totales
catastro_gdl,informix,SP,admsp_noadeudoca
catastro_gdl,informix,SP,admsp_noadeudoco
catastro_gdl,informix,SP,admsp_noadeudopg
catastro_gdl,informix,SP,admsp_pagpred
catastro_gdl,informix,SP,admsp_pagpredold
catastro_gdl,informix,SP,admsp_totalespred
catastro_gdl,informix,SP,admsp_totalestrans
catastro_gdl,informix,SP,admsp_tp_actos2
catastro_gdl,informix,SP,admsp_tp_baset
catastro_gdl,informix,SP,admsp_tp_caltasa
catastro_gdl,informix,SP,admsp_tp_caltrec
catastro_gdl,informix,SP,admsp_tp_cons2
catastro_gdl,informix,SP,admsp_tp_dedcble
catastro_gdl,informix,SP,admsp_tp_plazo
catastro_gdl,informix,SP,admsp_tp_tommy1
catastro_gdl,informix,SP,admsp_tp_tommy11
catastro_gdl,informix,SP,admsp_tp_tommy2
catastro_gdl,informix,SP,admsp_transpatco
catastro_gdl,informix,SP,admsp_transpatpg
catastro_gdl,informix,SP,afecta_gastostransm
catastro_gdl,informix,SP,agrega_ctrol
catastro_gdl,informix,SP,agrega_ctrol1
catastro_gdl,informix,SP,ajusta_cuenta
catastro_gdl,informix,SP,ajusta_cuenta_2023
catastro_gdl,informix,SP,ajusta_cuenta_2023_buenfin
catastro_gdl,informix,SP,ajusta_cuenta_anual
catastro_gdl,informix,SP,ajusta_electronicos
catastro_gdl,informix,SP,algo
catastro_gdl,informix,SP,algo1
catastro_gdl,informix,SP,alta_linderos
catastro_gdl,informix,SP,ansicoltype
catastro_gdl,informix,SP,ansidatprec
catastro_gdl,informix,SP,ansimaxlen
catastro_gdl,informix,SP,ansinullable
catastro_gdl,informix,SP,ansinumprec
catastro_gdl,informix,SP,ansinumprecradix
catastro_gdl,informix,SP,ansinumscale
catastro_gdl,informix,SP,ansitabtype
catastro_gdl,informix,SP,anula_reqpred
catastro_gdl,informix,SP,arregla
catastro_gdl,informix,SP,asigna_folioscarta
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,assign
catastro_gdl,informix,SP,audit_autori
catastro_gdl,informix,SP,b
catastro_gdl,informix,SP,banamexcaja
catastro_gdl,informix,SP,banco_transpatco
catastro_gdl,informix,SP,bancos01
catastro_gdl,informix,SP,bancos02
catastro_gdl,informix,SP,barcode_autoserv
catastro_gdl,informix,SP,barcode_autoserv
catastro_gdl,informix,SP,barcode_autoserv
catastro_gdl,informix,SP,barcode_dgv
catastro_gdl,informix,SP,barcode_dgv2017
catastro_gdl,informix,SP,barcode_dgv2018
catastro_gdl,informix,SP,barcode_dgv2019
catastro_gdl,informix,SP,barcode_dgvcajero
catastro_gdl,informix,SP,barcode_dgvoxxo
catastro_gdl,informix,SP,barcode_dgvx
catastro_gdl,informix,SP,barrido_actualizacion
catastro_gdl,informix,SP,barrido_detsal
catastro_gdl,informix,SP,bf2022_desc_manual
catastro_gdl,informix,SP,blobexport
catastro_gdl,informix,SP,blobimport
catastro_gdl,informix,SP,blobinput
catastro_gdl,informix,SP,bloboutput
catastro_gdl,informix,SP,blobrecv
catastro_gdl,informix,SP,blobsend
catastro_gdl,informix,SP,bloqueolic
catastro_gdl,informix,SP,bson_explain
catastro_gdl,informix,SP,bson_export_bin
catastro_gdl,informix,SP,bson_export_txt
catastro_gdl,informix,SP,bson_extract
catastro_gdl,informix,SP,bson_import_bin
catastro_gdl,informix,SP,bson_import_txt
catastro_gdl,informix,SP,bson_in
catastro_gdl,informix,SP,bson_out
catastro_gdl,informix,SP,bson_recv
catastro_gdl,informix,SP,bson_send
catastro_gdl,informix,SP,bson_valid
catastro_gdl,informix,SP,bytetoblob
catastro_gdl,informix,SP,bytetoblob
catastro_gdl,informix,SP,bytetoblob_pre1150
catastro_gdl,informix,SP,c_predial1_web
catastro_gdl,informix,SP,c_predial1_web17
catastro_gdl,informix,SP,c_predial1_web17x
catastro_gdl,informix,SP,c_predial1_web18
catastro_gdl,informix,SP,c_predial1_web18x
catastro_gdl,informix,SP,c_predial1_web19
catastro_gdl,informix,SP,c_predial1_web20
catastro_gdl,informix,SP,c_predial1_web_rbo
catastro_gdl,informix,SP,c_predial1_web_rbo18
catastro_gdl,informix,SP,c_predial1_webbim
catastro_gdl,informix,SP,c_predial1_webdatos
catastro_gdl,informix,SP,c_predial1_webdatos2
catastro_gdl,informix,SP,c_predial1_webdatosx
catastro_gdl,informix,SP,c_predial1_webpr
catastro_gdl,informix,SP,c_predial1_webpru
catastro_gdl,informix,SP,c_predial1_webx
catastro_gdl,informix,SP,c_predial2_web
catastro_gdl,informix,SP,c_predial2_web17
catastro_gdl,informix,SP,c_predial2_web19
catastro_gdl,informix,SP,c_predial2_web19x
catastro_gdl,informix,SP,c_predial2_webbim
catastro_gdl,informix,SP,c_predial3_webbim
catastro_gdl,informix,SP,c_predial_kio
catastro_gdl,informix,SP,c_predial_kio1
catastro_gdl,informix,SP,c_wspredial1_banc1
catastro_gdl,informix,SP,c_wspredial1_banco
catastro_gdl,informix,SP,c_wspredial1_bbva
catastro_gdl,informix,SP,c_wspredial1_bbva3
catastro_gdl,informix,SP,c_wspredial2_banco
catastro_gdl,informix,SP,c_wspredial2_bbva
catastro_gdl,informix,SP,caj_aplicabancos
catastro_gdl,informix,SP,cajero_adeudospred
catastro_gdl,informix,SP,cajero_adeudospred2
catastro_gdl,informix,SP,cajero_cancpred
catastro_gdl,informix,SP,cajero_datospred
catastro_gdl,informix,SP,cajero_dectopred
catastro_gdl,informix,SP,cajero_detpago2
catastro_gdl,informix,SP,cajero_exc_pagoadmin
catastro_gdl,informix,SP,cajero_noadeudoca
catastro_gdl,informix,SP,cajero_noadeudoco
catastro_gdl,informix,SP,cajero_noadeudopg
catastro_gdl,informix,SP,cajero_pagpred
catastro_gdl,informix,SP,cajero_pub_pagoadmin
catastro_gdl,informix,SP,cajero_totalespred
catastro_gdl,informix,SP,cajero_totalesprednvo
catastro_gdl,informix,SP,cajero_totalesprednvo
catastro_gdl,informix,SP,cajero_totalesprednvo
catastro_gdl,informix,SP,cajero_totaltrans
catastro_gdl,informix,SP,cajero_transpatco
catastro_gdl,informix,SP,cajero_transpatpg
catastro_gdl,informix,SP,cal_conc_adelic_axo
catastro_gdl,informix,SP,cal_descto_acum
catastro_gdl,informix,SP,cal_ind_adeudo_axo
catastro_gdl,informix,SP,cal_ind_adeudo_axo2
catastro_gdl,informix,SP,cal_ind_adeudo_axolic
catastro_gdl,informix,SP,cal_ind_aduedo_cartera
catastro_gdl,informix,SP,cal_ind_pagopred_virt
catastro_gdl,informix,SP,cal_ind_pred
catastro_gdl,informix,SP,calc2016_dpp_rev
catastro_gdl,informix,SP,calc2017_dpp_rev
catastro_gdl,informix,SP,calc2018_dpp_rev
catastro_gdl,informix,SP,calc_actlic
catastro_gdl,informix,SP,calc_actualizacion
catastro_gdl,informix,SP,calc_actualizacion_lic
catastro_gdl,informix,SP,calc_actualizacionf
catastro_gdl,informix,SP,calc_actualizacionf_anual
catastro_gdl,informix,SP,calc_adeudoanun
catastro_gdl,informix,SP,calc_adeudoanun2
catastro_gdl,informix,SP,calc_adeudoanun_ri
catastro_gdl,informix,SP,calc_adeudoanun_rix
catastro_gdl,informix,SP,calc_adeudoanunx
catastro_gdl,informix,SP,calc_adeudolic
catastro_gdl,informix,SP,calc_adeudolic2
catastro_gdl,informix,SP,calc_adeudolic_ri
catastro_gdl,informix,SP,calc_adeudolic_ri2
catastro_gdl,informix,SP,calc_adeudolic_rix
catastro_gdl,informix,SP,calc_adeudolicx
catastro_gdl,informix,SP,calc_aju_pg_elect
catastro_gdl,informix,SP,calc_basetranspat
catastro_gdl,informix,SP,calc_ctapub_indic
catastro_gdl,informix,SP,calc_descpred
catastro_gdl,informix,SP,calc_descpred
catastro_gdl,informix,SP,calc_descpred1
catastro_gdl,informix,SP,calc_descpred2016
catastro_gdl,informix,SP,calc_descpred2017
catastro_gdl,informix,SP,calc_descpred2018
catastro_gdl,informix,SP,calc_descpred2019
catastro_gdl,informix,SP,calc_descpred_esp
catastro_gdl,informix,SP,calc_descpred_extra
catastro_gdl,informix,SP,calc_descpred_extra2
catastro_gdl,informix,SP,calc_descpred_extrazz
catastro_gdl,informix,SP,calc_descpred_sony
catastro_gdl,informix,SP,calc_descpred_tarj
catastro_gdl,informix,SP,calc_descpredban
catastro_gdl,informix,SP,calc_descpredold
catastro_gdl,informix,SP,calc_descrec
catastro_gdl,informix,SP,calc_desctransact
catastro_gdl,informix,SP,calc_dmulaut
catastro_gdl,informix,SP,calc_dmulesp
catastro_gdl,informix,SP,calc_dmulmpal
catastro_gdl,informix,SP,calc_dmulmpal_tpm
catastro_gdl,informix,SP,calc_dpp
catastro_gdl,informix,SP,calc_dpp_canctj
catastro_gdl,informix,SP,calc_dpp_cantjdesc
catastro_gdl,informix,SP,calc_dpp_rev
catastro_gdl,informix,SP,calc_dpp_tarjeta
catastro_gdl,informix,SP,calc_dpp_tjdescto
catastro_gdl,informix,SP,calc_dppban
catastro_gdl,informix,SP,calc_drecppp
catastro_gdl,informix,SP,calc_exentos
catastro_gdl,informix,SP,calc_factor90
catastro_gdl,informix,SP,calc_gasmul
catastro_gdl,informix,SP,calc_gasmul18
catastro_gdl,informix,SP,calc_gaspag
catastro_gdl,informix,SP,calc_gasreqmul
catastro_gdl,informix,SP,calc_impto
catastro_gdl,informix,SP,calc_impto_respaldo
catastro_gdl,informix,SP,calc_imptotasa
catastro_gdl,informix,SP,calc_imptotranspat
catastro_gdl,informix,SP,calc_mulgaslic1
catastro_gdl,informix,SP,calc_mult_rgos_trans
catastro_gdl,informix,SP,calc_mult_rgos_transb
catastro_gdl,informix,SP,calc_mult_rgos_transb1
catastro_gdl,informix,SP,calc_mult_rgos_transc
catastro_gdl,informix,SP,calc_recargosdift
catastro_gdl,informix,SP,calc_recforz
catastro_gdl,informix,SP,calc_recgos
catastro_gdl,informix,SP,calc_recgos
catastro_gdl,informix,SP,calc_recgos2022
catastro_gdl,informix,SP,calc_recgos_anual
catastro_gdl,informix,SP,calc_recgos_mult
catastro_gdl,informix,SP,calc_recgosreq
catastro_gdl,informix,SP,calc_recgosresol
catastro_gdl,informix,SP,calc_recgostmp
catastro_gdl,informix,SP,calc_recgosx
catastro_gdl,informix,SP,calc_rgos_trans_axo_ante
catastro_gdl,informix,SP,calc_saldos_lic_masivo
catastro_gdl,informix,SP,calc_sdobim
catastro_gdl,informix,SP,calc_sdobim_conv
catastro_gdl,informix,SP,calc_sdos
catastro_gdl,informix,SP,calc_sdos2010
catastro_gdl,informix,SP,calc_sdos_rev
catastro_gdl,informix,SP,calc_sdos_test_2022
catastro_gdl,informix,SP,calc_sdosa
catastro_gdl,informix,SP,calc_sdosax
catastro_gdl,informix,SP,calc_sdoslconv
catastro_gdl,informix,SP,calc_sdoslsr
catastro_gdl,informix,SP,calc_sdoslsrx
catastro_gdl,informix,SP,calc_sdoslx
catastro_gdl,informix,SP,calc_sdosx
catastro_gdl,informix,SP,calc_sdotot
catastro_gdl,informix,SP,calc_sdotot_test_2022
catastro_gdl,informix,SP,calcanun
catastro_gdl,informix,SP,calcanun1
catastro_gdl,informix,SP,calcdedu
catastro_gdl,informix,SP,calcdesctoleyrbos
catastro_gdl,informix,SP,calcimptotp
catastro_gdl,informix,SP,calculamulta
catastro_gdl,informix,SP,calles
catastro_gdl,informix,SP,cambiotipopredio
catastro_gdl,informix,SP,cambiotipopredio
catastro_gdl,informix,SP,canc_accesorios_conv
catastro_gdl,informix,SP,canc_auto_desctos_multas
catastro_gdl,informix,SP,canc_descpred
catastro_gdl,informix,SP,canc_descpred_2
catastro_gdl,informix,SP,canc_descrec
