sistema,base_de_datos,esquema,tipo_objeto,nombre_objeto,destino_postgre,existe_en_informix,query
Licencias2,,dbo,SP,FUNCTION,padron_licencias,NO,"'EXECUTE FUNCTION fn_bitacora_lic_login (:p_fecha_inicio, :p_usua' + 'rio, :p_ip)"
Licencias2,,dbo,SP,then,padron_licencias,NO,if JvSaveDialog1.Execute then begin JvDBGridExcelExport1.FileName:=JvSaveDialog1.FileName
Licencias2,,dbo,TABLA,c,padron_licencias,NO,"'select a.usuario,u.nombres,u.fecbaj as baja,d.nombredepto from c' + '_programas p' 'inner join aud_auto a on a.num_tag = p.num_tag' 'inner join usuarios u on u.usuario=a.usuario' 'left join deptos d on d.cvedepto=u.cvedepto ' 'where p.num_tag between 8000 and 8999 group by 1,2,3,4' 'union all' 'select a.usuario,u.nombres,u.fecbaj as baja,d.nombredepto from c' + '_programas p' 'inner join autoriza a on a.num_tag = p...."
Licencias2,,dbo,TABLA,cruceca,padron_licencias,NO,"'select c.id_tramite,l.calle calle1, ll.calle calle2 from cruceca' + 'lles c, c_calles l, c_calles ll' 'where c.id_tramite = :id_tramite' 'and l.cvecalle = c.cvecalle1' 'and ll.cvecalle = c.cvecalle2') Left = 323 Top = 264 ParamData = < item DataType = ftInteger Name = 'id_tramite' ParamType = ptUnknown Size = 4 end> end object ppBDEPipeline2: TppBDEPipeline DataSource = DataSource1 ..."
Licencias2,,dbo,TABLA,db_ingresos,padron_licencias,NO,'SELECT * FROM db_ingresos::ta_16_Rel_LicGiro l' 'inner join db_ingresos::ta_16_contratos c on l.control_contrato ' + '= c.control_contrato' 'left join db_ingresos::ta_16_empresas e on e.ctrol_emp = c.ctrol' + '_emp and e.num_empresa=c.num_empresa' 'left join db_ingresos::ta_16_tipo_aseo a on c.ctrol_aseo=a.ctrol' + '_aseo' 'WHERE l.Num_Licencia = :licencia') Left = 664 Top = 440 ParamData = < ...
Licencias2,,dbo,TABLA,gir,padron_licencias,NO,'select * from c_girosreq c where req not in (select req from gir' + 'o_req where id_giro=:id_giro)' 'order by c.req ') Left = 424 Top = 216 ParamData = < item DataType = ftInteger Name = 'id_giro' ParamType = ptUnknown Size = 4 end> end object reqdispDS: TDataSource AutoEdit = False DataSet = reqdisp Left = 432 Top = 240 end object qryins: TQuery DatabaseName = 'Dbcatastro2' ...
Licencias2,,dbo,TABLA,lic_,padron_licencias,NO,' from licencias where licencia not in (select licencia from lic_' + 'detgrupo where lic_grupos_id =:id)') Left = 176 Top = 288 ParamData = < item DataType = ftInteger Name = 'id' ParamType = ptUnknown Size = 4 end> object IntegerField1: TIntegerField DisplayWidth = 12 FieldName = 'licencia' end object StringField1: TStringField DisplayWidth = 51 FieldName = 'propietario' ...
Licencias2,,dbo,TABLA,lic_detg,padron_licencias,NO,' from licencias where licencia in (select licencia from lic_detg' + 'rupo where lic_grupos_id =:id)') Left = 600 Top = 256 ParamData = < item DataType = ftInteger Name = 'id' ParamType = ptUnknown Size = 4 end> object DetGrupoLiclicencia: TIntegerField DisplayWidth = 12 FieldName = 'licencia' end object DetGrupoLicpropietarionvo: TStringField FieldName = 'propietarionvo' Size ...
Licencias2,,dbo,TABLA,parametros_,padron_licencias,NO,"'SELECT case when s.total = 0 then (select forma from parametros_' + 'lic) else s.total end as total from saldos_lic s, tramites t' 'where t.id_tramite = :id_tramite' 'and s.id_licencia = t.id_licencia"
Licencias2,,dbo,TABLA,trami,padron_licencias,NO,"'_ap,""""))||"" ""||trim(t.propietario)) as propietarionvo from trami' + 'tes t' ' inner join revisiones r on r.id_tramite = t.id_tramite' ' left join licencias l on l.id_licencia = t.id_licencia ' ' left join anuncios a on a.id_anuncio = t.id_anuncio' ' left join crucecalles cr on cr.id_tramite = t.id_tramit' + 'e' ' left join c_calles c1 on c1.cvecalle = cr.cvecalle1' ' left joi..."
Licencias2,,dbo,TABLA,usoaval,padron_licencias,NO,"'select a.cveusopred,a.encabeza,a.vigencia,b.cveusod from usoaval' + 'u a,c_usopred b' 'where a.cvecuenta = :cvecuenta' 'and b.cveusopred = a.cveusopred') Left = 21 Top = 464 ParamData = < item DataType = ftInteger Name = 'cvecuenta' ParamType = ptUnknown end> end object UsoavaluDs: TDataSource DataSet = usoavaluQry Left = 21 Top = 515 end object avaluosGlobales: TTable DatabaseName ..."
Licencias2,a,dbo,SP,pszText,padron_licencias,NO,"// string resource id, or text id if pszFile is specified in HtmlHelp call pszText : PChar"
Licencias2,a,dbo,SP,repeatedly,padron_licencias,NO,"// Get Info type name, call repeatedly to enumerate, -1 at end HH_SET_INFO_TYPE = $0008"
Licencias2,a,dbo,TABLA,display,padron_licencias,NO,// set exclusive filtering method for untyped topics to be excluded from display HH_INITIALIZE = $001C
