base,esquema,tipo,nombre,base_destino_postgresql,esquema_destino,sin_destino,sistemas_uso
catastro_gdl,admin,SP,admspins_detpago2,padron_licencias,comun,NO,
catastro_gdl,admin,SP,sp_adeudos,padron_licencias,comun,NO,
catastro_gdl,admin,SP,sp_gastmult,padron_licencias,comun,NO,
catastro_gdl,admin,TABLA,admpredtransac,padron_licencias,comun,NO,
catastro_gdl,admin,TABLA,pagos_admin,padron_licencias,comun,NO,
catastro_gdl,admin,TABLA,pagos_admin1,padron_licencias,comun,NO,
catastro_gdl,bcabrera,SP,graba_noadeudosite,padron_licencias,comun,NO,
catastro_gdl,bcabrera,SP,leyenda_rbopredial,padron_licencias,comun,NO,
catastro_gdl,bcabrera,SP,spd_difpredial,padron_licencias,comun,NO,
catastro_gdl,bcabrera,TABLA,asig_peticiones,padron_licencias,comun,NO,
catastro_gdl,bcabrera,TABLA,c_descleyendarbo,padron_licencias,comun,NO,
catastro_gdl,bcabrera,TABLA,documento_pet,padron_licencias,comun,NO,
catastro_gdl,bcabrera,TABLA,forma_solicitud,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,borrable1,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,c_giros,padron_licencias,comun,SI,"multas_reglamentos,padron_licencias"
catastro_gdl,consulta,TABLA,deptoimpinm,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,detsal_lic,padron_licencias,comun,SI,"multas_reglamentos,padron_licencias"
catastro_gdl,consulta,TABLA,detsal_lic_h,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,inhibirins,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,inhibirupd,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,liga_req,padron_licencias,public,SI,padron_licencias
catastro_gdl,consulta,TABLA,requisitos_doc,padron_licencias,comun,NO,
catastro_gdl,consulta,TABLA,saldos_lic,padron_licencias,public,SI,padron_licencias
catastro_gdl,csgarcia,SP,sp_calcular_impuestos_2021,padron_licencias,comun,NO,
catastro_gdl,csgarcia,SP,tmp2022_predial_seguros_vivienda_sp,padron_licencias,comun,NO,
catastro_gdl,csgarcia,TABLA,lic_firmas_elect_jalisco,padron_licencias,comun,NO,
catastro_gdl,csgarcia,TABLA,tmp2022_predial_seguros_vivienda,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,act_detade_empresa,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,odoo_adeudos_detalle_15,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,ssd_pr1,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,ssd_pr2,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,ssd_pr3,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,ssd_pr4,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,ssd_pr5,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,tmp_electronicos,padron_licencias,comun,NO,
catastro_gdl,dbduenas,SP,updfoliocat2019,padron_licencias,comun,NO,
catastro_gdl,dbduenas,TABLA,ctas_baldias,padron_licencias,comun,NO,
catastro_gdl,dbduenas,TABLA,ctas_exentas,padron_licencias,comun,NO,
catastro_gdl,dbduenas,TABLA,ctas_norecalcula,padron_licencias,comun,NO,
catastro_gdl,dbduenas,TABLA,tmp_nacho,padron_licencias,comun,NO,
catastro_gdl,dbduenas,TABLA,tmpaumento20mas,padron_licencias,comun,NO,
catastro_gdl,dbduenas,VISTA,v_pagosaumento,padron_licencias,comun,NO,
catastro_gdl,glgarcia,TABLA,lic_monumental,padron_licencias,comun,NO,
catastro_gdl,glgarcia,TABLA,restricciones,padron_licencias,comun,NO,
catastro_gdl,imtorre,SP,c_predial2_webpr,padron_licencias,comun,NO,
catastro_gdl,imtorre,SP,gen_saldosextra,padron_licencias,comun,NO,
catastro_gdl,imtorre,SP,kio13_total,padron_licencias,comun,NO,
catastro_gdl,imtorre,TABLA,auditext,padron_licencias,comun,NO,
catastro_gdl,imtorre,TABLA,c_bloqcon2012,padron_licencias,comun,NO,
